iter	Passed	Remaining
402	11045	43770
403	11073	43744
404	11099	43712
405	11122	43666
406	11146	43627
407	11170	43585
408	11197	43556
409	11228	43545
410	11258	43527
411	11283	43491
412	11306	43448
413	11332	43412
414	11356	43374
415	11382	43339
416	11408	43308
417	11433	43272
418	11460	43243
419	11483	43199
420	11508	43165
421	11533	43126
422	11558	43092
423	11592	43088
424	11618	43057
425	11643	43021
426	11667	42980
427	11690	42937
428	11720	42921
429	11745	42884
430	11773	42858
431	11802	42837
432	11829	42810
433	11859	42792
434	11887	42768
435	11918	42753
436	11949	42739
437	11978	42716
438	12009	42702
439	12042	42695
440	12072	42676
441	12103	42664
442	12137	42657
443	12165	42634
444	12197	42621
445	12224	42594
446	12257	42584
447	12287	42566
448	12323	42568
449	12350	42541
450	12376	42507
451	12406	42489
452	12436	42472
453	12466	42452
454	12494	42427
455	12526	42415
456	12554	42388
457	12590	42389
458	12617	42361
459	12648	42345
460	12676	42318
461	12706	42300
462	12733	42271
463	12760	42242
464	12783	42200
465	12808	42163
466	12836	42137
467	12864	42111
468	12897	42102
469	12926	42080
470	12956	42059
471	12981	42024
472	13013	42013
473	13042	41987
474	13068	41958
475	13100	41944
476	13126	41910
477	13155	41888
478	13183	41862
479	13210	41834
480	13235	41796
481	13257	41753
482	13283	41719
483	13308	41685
484	13333	41650
485	13360	41621
486	13387	41590
487	13418	41575
488	13446	41549
489	13474	41523
490	13502	41497
491	13534	41483
492	13567	41472
493	13594	41442
494	13624	41424
495	13658	41417
496	13687	41392
497	13718	41375
498	13747	41352
499	13774	41322
500	13796	41279
501	13822	41246
502	13848	41214
503	13871	41173
504	13897	41143
505	13925	41116
506	13956	41098
507	13984	41072
508	14019	41068
509	14049	41046
510	14079	41026
511	14107	41000
512	14135	40975
513	14164	40949
514	14187	40910
515	14213	40876
516	14237	40840
517	14264	40810
518	14288	40772
519	14311	40731
520	14335	40695
521	14363	40667
522	14392	40646
523	14425	40634
524	14449	40595
525	14472	40555
526	14506	40546
527	14535	40523
528	14566	40505
529	14597	40487
530	14631	40477
531	14658	40447
532	14684	40416
533	14710	40384
534	14737	40354
535	14767	40335
536	14795	40310
537	14825	40286
538	14851	40257
539	14881	40234
540	14905	40197
541	14935	40176
542	14963	40150
543	14986	40111
544	15013	40082
545	15037	40044
546	15069	40028
547	15097	40003
548	15128	39984
549	15154	39953
550	15183	39928
551	15209	39897
552	15235	39865
553	15262	39835
554	15287	39802
555	15319	39787
556	15348	39762
557	15381	39749
558	15410	39724
559	15436	39694
560	15465	39668
561	15487	39627
562	15517	39605
563	15539	39564
564	15559	39519
565	15579	39471
566	15610	39453
567	15637	39424
568	15664	39395
569	15692	39368
570	15720	39342
571	15749	39318
572	15774	39285
573	15800	39254
574	15823	39213
575	15851	39187
576	15876	39155
577	15906	39133
578	15933	39104
579	15962	39081
580	15992	39059
581	16023	39041
582	16056	39024
583	16093	39021
584	16123	38999
585	16149	38967
586	16174	38934
587	16200	38904
588	16224	38868
589	16247	38829
590	16276	38804
591	16302	38772
592	16327	38740
593	16351	38703
594	16377	38671
595	16405	38646
596	16442	38640
597	16470	38615
598	16496	38583
599	16528	38567
600	16556	38539
601	16580	38504
602	16603	38466
603	16630	38437
604	16653	38399
605	16684	38378
